spring,trial,mass_g,force_N,extension_m,u_extension_m
A,1,50,0.4903,0.0415,0.001
A,2,75,0.7355,0.0592,0.001
A,3,100,0.9807,0.0832,0.001
A,4,125,1.2258,0.104,0.001
A,5,150,1.471,0.1187,0.001
A,6,175,1.7162,0.1404,0.001
A,7,200,1.9613,0.1637,0.001
A,8,225,2.2065,0.2026,0.001
A,9,250,2.4517,0.2043,0.001
B,1,50,0.4903,0.0288,0.001
B,2,75,0.7355,0.041,0.001
B,3,100,0.9807,0.0567,0.001
B,4,125,1.2258,0.069,0.001
B,5,150,1.471,0.08,0.001
B,6,175,1.7162,0.0961,0.001
B,7,200,1.9613,0.107,0.001
B,8,225,2.2065,0.1243,0.001
B,9,250,2.4517,0.1361,0.001
