"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
7.486125003E-3	-5.070897276E-2	-5.449406274E-2	-8.307022333E-2	1.115422108E-1
1.744812501E-2	-7.119969947E-2	2.520958050E-2	-7.468590081E-2	1.062210146E-1
2.741066667E-2	-8.170461525E-2	1.170305138E-1	-3.232165396E-2	1.463436867E-1
3.737166667E-2	-8.809256131E-2	1.651432040E-1	3.578846812E-2	1.905607296E-1
4.733366667E-2	-5.716884870E-2	2.075062449E-1	7.051566660E-2	2.264941018E-1
5.729566667E-2	-5.877421546E-2	2.006914978E-1	6.677227914E-2	2.195222607E-1
6.725666667E-2	-2.627089810E-2	1.925747585E-1	2.770235360E-2	1.963227396E-1
7.721866667E-2	9.208104989E-3	1.404584523E-1	-1.795212150E-2	1.419001222E-1
8.718066667E-2	5.803844616E-3	8.072153385E-2	-2.693169057E-2	8.529341473E-2
9.714166667E-2	-4.852092639E-4	3.344331666E-2	-9.116978645E-3	3.466713367E-2
1.071036667E-1	-6.457461684E-2	7.500633508E-3	7.081679821E-2	9.613095002E-2
1.170656667E-1	-7.438865212E-2	1.076358541E-2	7.695228159E-2	1.075694193E-1
1.270276667E-1	-7.902035041E-2	1.103878256E-2	6.407729745E-2	1.023326465E-1
1.369886667E-1	-7.796822618E-2	3.530366771E-2	8.091961741E-3	8.597018723E-2
1.469506667E-1	-8.504344848E-2	6.266932903E-2	-1.960045159E-2	1.074430576E-1
1.569126667E-1	-7.547514701E-2	1.106686609E-1	-7.775042653E-3	1.341808541E-1
1.668736667E-1	-7.286290799E-2	1.185158436E-1	-4.331032634E-3	1.391896778E-1
1.768356667E-1	-7.171374282E-2	1.398207768E-1	2.650542855E-2	1.593588664E-1
1.867976667E-1	-5.329829800E-2	1.141203272E-1	2.650601327E-2	1.287117958E-1
1.967586667E-1	-1.079197410E-2	8.982097085E-2	9.891734719E-3	9.100615322E-2
2.067206667E-1	3.025111835E-4	6.045329369E-2	2.815434337E-2	6.668852436E-2
2.166826667E-1	-9.742401171E-3	3.270927411E-2	4.342200816E-2	5.522935620E-2
2.266436667E-1	-3.080241029E-2	3.769649910E-2	5.749157846E-2	7.533323382E-2
2.366056667E-1	-5.121395292E-2	4.834766151E-2	4.102464974E-2	8.150697659E-2
2.465676667E-1	-7.424640489E-2	5.877212782E-2	2.889810920E-2	9.900400176E-2
2.565286667E-1	-7.902749497E-2	7.344330810E-2	-7.408422232E-4	1.078879665E-1
2.664906667E-1	-6.834020088E-2	9.873183514E-2	-1.630788445E-2	1.211788159E-1
2.764526667E-1	-6.164828641E-2	1.064462221E-1	-1.825325310E-2	1.243563053E-1
2.864146667E-1	-7.140733501E-2	9.933392476E-2	1.767320931E-2	1.236065469E-1
2.963756667E-1	-5.055139943E-2	9.706260125E-2	2.500854135E-2	1.122587176E-1
3.063376667E-1	-3.126087768E-2	8.205681863E-2	3.249356210E-2	9.362903148E-2
3.162996667E-1	-3.043509551E-2	6.520877936E-2	3.219418466E-2	7.883492545E-2
3.262606667E-1	-2.452042446E-2	6.793869360E-2	2.875075936E-2	7.774010206E-2
3.362226667E-1	-3.508608961E-2	5.373947499E-2	3.009737313E-2	7.088594167E-2
3.461846667E-1	-4.981685210E-2	7.016512603E-2	2.545585334E-2	8.973775199E-2
3.561456667E-1	-5.940655529E-2	8.847179892E-2	3.174161017E-2	1.111932005E-1
3.661076667E-1	-6.160145843E-2	9.222552865E-2	1.018643439E-2	1.113734765E-1
3.760696667E-1	-7.688098211E-2	9.357171301E-2	1.003616095E-2	1.215198560E-1
3.860306667E-1	-6.699780808E-2	9.427171608E-2	1.632367194E-2	1.168003639E-1
3.959926667E-1	-6.385641431E-2	7.476622236E-2	-1.415026188E-4	9.832420698E-2
4.059546667E-1	-5.386828733E-2	6.779340399E-2	1.901923835E-2	8.865364872E-2
4.159156667E-1	-4.588257589E-2	6.395745237E-2	1.991678596E-2	8.119387198E-2
4.258776667E-1	-2.685662923E-2	9.104292015E-2	3.219067633E-2	1.002313897E-1
4.358396667E-1	-3.287762596E-2	6.508442096E-2	3.263915777E-2	7.988889009E-2
4.458016667E-1	-3.981298788E-2	7.403346118E-2	2.425600469E-2	8.748932016E-2
4.557626667E-1	-5.006334879E-2	8.445598603E-2	1.587226689E-2	9.945391558E-2
4.657246667E-1	-6.250818342E-2	8.319610292E-2	3.143930912E-2	1.087073810E-1
4.756866667E-1	-3.861827839E-2	8.289299788E-2	5.692849159E-3	9.162439116E-2
4.856476667E-1	-5.011317346E-2	7.839119914E-2	1.197919071E-2	9.380837525E-2
4.956096667E-1	-5.659350095E-2	7.651486418E-2	1.212946415E-2	9.593994315E-2
5.055716667E-1	-5.267361437E-2	5.635080953E-2	2.874549687E-2	8.231784118E-2
5.155326667E-1	-4.682299089E-2	4.976353280E-2	2.859580815E-2	7.407105991E-2
5.254946667E-1	-5.082170068E-2	6.378157452E-2	2.290763676E-2	8.470947013E-2
5.354566667E-1	-2.963995641E-2	7.134667929E-2	2.066230595E-2	7.997378663E-2
5.454176667E-1	-2.671697899E-2	7.264356888E-2	2.111137211E-2	8.022826870E-2
5.553796667E-1	-3.170942993E-2	7.146005589E-2	2.814732671E-2	8.309211475E-2
5.653416667E-1	-3.438705498E-2	6.971804244E-2	3.682927251E-2	8.602017383E-2
5.753026667E-1	-3.923900601E-2	8.229195893E-2	4.027269781E-2	9.966722774E-2
5.852646667E-1	-5.612546332E-2	6.796818549E-2	2.709950566E-2	9.221781324E-2
5.952266667E-1	-3.496383027E-2	6.723810123E-2	7.041801810E-3	7.611188250E-2
6.051886667E-1	-3.238179806E-2	5.398342266E-2	2.799880743E-2	6.889647295E-2
6.151496667E-1	-4.720064336E-2	4.678771574E-2	1.332931280E-2	6.778393362E-2
6.251116667E-1	-3.423761979E-2	5.937686697E-2	1.961740851E-2	7.129284436E-2
6.350736667E-1	-3.440720275E-2	5.672634695E-2	2.575523078E-2	7.116927675E-2
6.450346667E-1	-3.968709916E-2	6.182965973E-2	9.439744949E-3	7.407483680E-2
6.549966667E-1	-4.039605122E-2	7.423936539E-2	6.596243978E-3	8.477520134E-2
6.649586667E-1	-4.107720616E-2	7.691847738E-2	9.590603113E-3	8.772553047E-2
6.749196667E-1	-5.306706803E-2	6.231212354E-2	2.066815317E-2	8.441615370E-2
6.848816667E-1	-3.782246548E-2	6.406552536E-2	2.935068369E-2	7.997745350E-2
6.948436667E-1	-3.201140664E-2	5.391922663E-2	2.650659800E-2	6.807799125E-2
7.048046667E-1	-3.652266371E-2	6.620044429E-2	1.034080088E-2	7.631078529E-2
7.147666667E-1	-4.858391186E-2	4.868307699E-2	8.096054792E-3	6.925304744E-2
7.247286667E-1	-3.969216522E-2	6.186976797E-2	2.082076550E-2	7.639921757E-2
7.346896667E-1	-5.515521381E-2	5.655004426E-2	2.860516369E-2	8.401345432E-2
7.446516667E-1	-3.623339555E-2	6.724075075E-2	2.606162488E-2	8.070555004E-2
7.546136667E-1	-2.923674521E-2	9.378236809E-2	1.887715101E-2	1.000313284E-1
7.645746667E-1	-6.530234851E-2	1.962360108E-1	2.681240737E-2	2.085470543E-1
7.745366667E-1	-3.749335632E-2	2.766650103E-1	2.136332864E-1	3.515515051E-1
7.844986667E-1	2.417938447E-3	3.039298825E-1	2.788993227E-1	4.125094570E-1
7.944606667E-1	-1.729738135E-1	3.419279586E-1	-6.678830051E-1	7.700015439E-1
8.044216667E-1	3.732534937E-2	3.143141538E-1	4.233495229E-1	5.285937831E-1
8.143836667E-1	-7.695843031E-2	3.161998443E-1	-1.492092490E-1	3.580060635E-1
8.243456667E-1	-1.811429037E-2	3.023204364E-1	7.068523586E-2	3.110018912E-1
8.343066667E-1	-1.188305083E-2	3.543610394E-1	3.820278347E-2	3.566124028E-1
8.442686667E-1	-4.852342059E-2	2.274484662E-1	-3.619017184E-2	2.353657912E-1
8.542306667E-1	-2.349620099E-3	1.661792210E-1	7.308434844E-2	1.815554356E-1
8.641916667E-1	-5.868508654E-2	2.122932507E-1	2.114353180E-2	2.212677397E-1
8.741536667E-1	-1.213405970E-1	2.074157958E-1	1.036769807E-2	2.405251379E-1
8.841156667E-1	-1.451371293E-1	2.674405525E-1	-2.271350920E-2	3.051313470E-1
8.940766667E-1	-9.415928509E-2	3.088688246E-1	2.563419342E-2	3.239182515E-1
9.040386667E-1	-4.450315833E-2	3.141854420E-1	6.979061186E-2	3.249057595E-1
9.140006667E-1	-1.234152850E-2	3.401213882E-1	-5.056204319E-2	3.440805026E-1
9.239616667E-1	1.362944033E-1	3.850796061E-1	1.034664810E-1	4.213879212E-1
9.339236667E-1	2.023127845E-1	4.533386860E-1	9.732690454E-2	5.058843281E-1
9.438856667E-1	1.155223433E-1	5.380616980E-1	-9.402907491E-3	5.504036858E-1
9.538466667E-1	-1.128454834E-2	6.170174184E-1	3.400682151E-2	6.180568740E-1
9.638086667E-1	-1.263143756E-1	6.925179825E-1	7.008297265E-2	7.074235652E-1
9.737706667E-1	-2.026014177E-1	7.632683417E-1	3.655503809E-2	7.905454868E-1
9.837326667E-1	-2.177299005E-1	8.332363435E-1	1.829535306E-2	8.614080529E-1
9.936936667E-1	-1.871299591E-1	9.845736866E-1	-1.291492063E-1	1.010486261E0
1.003655667E0	-1.321617466E-1	1.210861371E0	-1.224202305E-1	1.224188997E0
1.013617667E0	-4.522521181E-2	1.439600135E0	-5.581284285E-2	1.441391322E0
1.023578250E0	-5.035067091E-3	1.559878384E0	-7.078054547E-2	1.561491534E0
1.033540250E0	2.061670498E-1	1.657498819E0	2.202184206E-1	1.684726488E0
1.043502250E0	2.146132249E-1	1.670808544E0	-3.405026633E-1	1.718604693E0
