resistor,trial,voltage_V,current_A,u_voltage_V,u_current_A
A,1,0.5392685003392923,0.005137884845657338,0.02,0.0005
A,1,1.5647287196533313,0.01605618788759039,0.02,0.0005
A,1,2.595834404915496,0.026472074941174466,0.02,0.0005
A,1,3.648557275382046,0.03716760336168558,0.02,0.0005
A,1,4.711807372752317,0.04737669865523927,0.02,0.0005
A,1,5.780041547809434,0.057696610689069346,0.02,0.0005
A,1,6.85161225865407,0.06835544035126918,0.02,0.0005
A,1,7.859732930295949,0.07858879233717125,0.02,0.0005
A,1,8.975463229110654,0.08921217907748978,0.02,0.0005
A,1,9.995518869574939,0.09917962427524465,0.02,0.0005
A,2,0.48747483896620275,0.00462619335643464,0.02,0.0005
A,2,1.5777424278273324,0.015293635337288024,0.02,0.0005
A,2,2.6197725893291413,0.026309651422063592,0.02,0.0005
A,2,3.6675527965315147,0.03707903647586202,0.02,0.0005
A,2,4.70424779276749,0.04745921518608835,0.02,0.0005
A,2,5.803817116983667,0.05750151077249985,0.02,0.0005
A,2,6.838195569782891,0.06839587453867649,0.02,0.0005
A,2,7.869028143088156,0.07845203387028159,0.02,0.0005
A,2,8.92516573652209,0.08913012181588215,0.02,0.0005
A,2,10.012030598713451,0.09913991559587197,0.02,0.0005
A,3,0.5384529066703102,0.0059962856526405775,0.02,0.0005
A,3,1.5562763407887652,0.015916186898658924,0.02,0.0005
A,3,2.5939966945375694,0.02566954071238893,0.02,0.0005
A,3,3.6869275961221315,0.036508659431013196,0.02,0.0005
A,3,4.720527347201647,0.046847583831246264,0.02,0.0005
A,3,5.785456737365486,0.05773709174035073,0.02,0.0005
A,3,6.816495358871899,0.0680920671423764,0.02,0.0005
A,3,7.880352812396945,0.07895536008101685,0.02,0.0005
A,3,8.926186183199611,0.08991881861160421,0.02,0.0005
A,3,9.988943174594304,0.1004150128335808,0.02,0.0005
B,1,0.5121189594287027,0.0023422520477162164,0.02,0.0005
B,1,1.5418252790670668,0.006756056747982011,0.02,0.0005
B,1,2.575565596416422,0.01084871677942549,0.02,0.0005
B,1,3.664809313313262,0.01703026689174319,0.02,0.0005
B,1,4.730949384831803,0.021301090094080443,0.02,0.0005
B,1,5.787576805472704,0.025803415933594802,0.02,0.0005
B,1,6.827168672603674,0.03060892141961096,0.02,0.0005
B,1,7.922677531288274,0.036207440819849196,0.02,0.0005
B,1,8.993278840716185,0.04098680583584265,0.02,0.0005
B,1,10.006332767570347,0.04554713042686169,0.02,0.0005
B,2,0.48111825426312443,0.0017492182590394564,0.02,0.0005
B,2,1.5477277788445485,0.006789265541015522,0.02,0.0005
B,2,2.6170989387565924,0.011872284698546644,0.02,0.0005
B,2,3.6932701710375424,0.016785078727290126,0.02,0.0005
B,2,4.7181310835278785,0.022117358932177228,0.02,0.0005
B,2,5.780199395587687,0.02726236375509043,0.02,0.0005
B,2,6.862594057070758,0.030416335789354338,0.02,0.0005
B,2,7.896599388119566,0.035542362661574047,0.02,0.0005
B,2,8.9479349162485,0.04053789504247267,0.02,0.0005
B,2,10.010615449265947,0.04489117599800169,0.02,0.0005
B,3,0.5342714127545269,0.001491888025371849,0.02,0.0005
B,3,1.538629234163961,0.007148734528949526,0.02,0.0005
B,3,2.5767138994508265,0.011274455994536537,0.02,0.0005
B,3,3.666691135821055,0.016762960671785593,0.02,0.0005
B,3,4.738970922577913,0.020736910403369984,0.02,0.0005
B,3,5.770138694032797,0.025105814369210448,0.02,0.0005
B,3,6.8486274658065165,0.030479872845363,0.02,0.0005
B,3,7.897926715118895,0.03614425675876229,0.02,0.0005
B,3,8.955733846644177,0.04075653710660109,0.02,0.0005
B,3,9.990248418680364,0.046396156283565,0.02,0.0005
